id,title,artist,album,duration,genre,moods,rating,playCount
500,Ocean Dreams,Blue Fiction,Vol. 1,313,indie,calm|epic|focus,0,0
499,Neon Hearts,The Storm,Night Drive,136,rock,romantic|focus,0,0
498,Electric Sky,Neon Riders,Night Drive,244,jazz,happy|focus|romantic,0,0
497,青のすみか,LiSA,青い炎,349,pop,sad|happy|dramatic,0,0
496,Neon Shadows,MC Echo,Single,154,lofi,chill,0,0
495,風吹けば恋,YOASOBI,ベスト,174,anime,sad|chill|ending,0,0
494,Ocean Lights,The Theory,Vol. 1,130,rock,focus|chill,0,0
493,Golden Hearts,Young Nova,Single,261,jazz,energetic|sad|dramatic,0,0
492,Golden Lights,MC Hearts,Vol. 1,395,lofi,dramatic,0,0
491,Electric City,Young Lights,Single,411,indie,calm|sad|energetic,0,0
490,Silver Fire,King Nova,Single,286,jazz,sad|happy|dramatic,0,0
489,Silver Fire,Silent Echo,Greatest Hits,282,alt,focus,0,0
488,Gravity Sky,Blue Nova,Reflections,133,anime,happy|anime,0,0
487,Ocean Lights,The Hearts,Reflections,240,pop,calm,0,0
486,Wild Hearts,Blue Waves,Greatest Hits,365,alt,calm|chill,0,0
485,夜に駆ける,LiSA,ベスト,326,jazz,focus|epic|sad,0,0
484,白日,Official髭男dism,シングル,318,jpop,happy|energetic|chill|anime,0,0
483,Crimson Lights,Queen Waves,Vol. 1,321,jazz,epic|energetic|focus,0,0
482,Gravity Hearts,MC Nova,Vol. 2,275,alt,sad|epic,0,0
481,Gravity Run,Queen Lights,Reflections,167,jazz,energetic,0,0
480,Golden Dreams,Young Riders,Reflections,298,jpop,calm|chill|ost,0,0
479,キラキラ,Official髭男dism,シングル,290,indie,happy,0,0
478,Neon Sky,Neon Nova,Vol. 2,170,pop,romantic|chill,0,0
477,夜に駆ける,宇多田ヒカル,物語,341,alt,happy|sad|chill,0,0
476,Ocean Dreams,Saint Theory,Reflections,391,indie,energetic,0,0
475,Ocean Rain,The Echo,Reflections,255,lofi,focus,0,0
474,青のすみか,YOASOBI,シングル,343,lofi,happy,0,0
